FILM;ID ACTEUR;
tt0078449;nm0000646;
tt0078449;nm0000348;
tt0078449;nm0000999;
tt0066636;nm0002016;
tt0066636;nm0191611;
tt0066636;nm0685965;
tt0060307;nm0909727;
tt0060307;nm0566680;
tt0057736;nm0001078;
tt0057736;nm0307500;
tt0057736;nm0570451;
tt0055657;nm0000033;
tt0055657;nm0691128;
tt0055657;nm0431548;
tt0050073;nm0569795;
tt0050073;nm0934211;
tt0050073;nm0395667;
tt0054532;nm0694090;
tt0055184;nm0000022;
tt0055184;nm0000054;
tt0055184;nm0001050;
tt0053957;nm0000047;
tt0052662;nm0004647;
tt0052662;nm0658339;
tt0052151;nm0912001;
tt0050166;nm0001627;
tt0049407;nm0662223;
tt0049407;nm0929795;
tt0048691;nm0000066;
tt0048691;nm0752813;
tt0048640;nm0719692;
tt0046770;nm0001805;
tt0046770;nm0001514;
tt0046085;nm0000038;
tt0046124;nm0587061;
tt0043751;nm0002024;
tt0043371;nm0534045;
tt0043262;nm0001544;
tt0043262;nm0388303;
tt0284714;nm0792369;
tt0284714;nm0124889;
tt0284714;nm0272244;
tt0057168;nm0000023;
tt0057168;nm0001958;
tt0057168;nm0001430;
tt0057093;nm0332587;
tt0047522;nm0007217;
tt0043012;nm0000037;
tt0043012;nm0102787;
tt0041507;nm0757064;
tt0040976;nm0237025;
tt0040308;nm0492444;
tt0040694;nm0805790;
tt0039035;nm0908153;
tt0039035;nm0107082;
tt0038589;nm0001961;
tt0039116;nm0000840;
tt0243166;nm0056217;
tt0243166;nm0682071;
tt0243166;nm0000024;
tt0127536;nm0000949;
tt0127536;nm0318884;
tt0127536;nm0191358;
tt0127933;nm0434712;
tt0127933;nm0700059;
tt0127933;nm0235868;
tt0120800;nm0319698;
tt0120800;nm0000144;
tt0120800;nm0180639;
tt0130414;nm0000554;
tt0130414;nm0000307;
tt0118297;nm0054535;
tt0118297;nm0428933;
tt0118297;nm0750971;
tt2040116;nm1869438;
tt2040116;nm0006339;
tt2040116;nm0623762;
tt0118933;nm0747687;
tt0118933;nm0069109;
tt0118933;nm0766056;
tt0116477;nm0000110;
tt0116477;nm0001046;
tt0116477;nm0001394;
tt0117364;nm0000518;
tt0117364;nm0001347;
tt0116136;nm0000598;
tt0116136;nm0000539;
tt0115195;nm0001101;
tt0117631;nm0001691;
tt0117631;nm0000090;
tt0117631;nm0104051;
tt0121028;nm0493271;
tt0121028;nm0590423;
tt0113269;nm0001644;
tt0113269;nm0000295;
tt0061170;nm0001380;
tt0058092;nm0001989;
tt0058092;nm0002145;
tt0053877;nm0000053;
tt0053143;nm0639613;
tt0053125;nm0001693;
tt0051745;nm0405054;
tt0051773;nm0662116;
tt0050599;nm0543790;
tt0050599;nm0002063;
tt0050105;nm0219396;
tt0050858;nm0000069;
tt0048728;nm0484829;
tt0044916;nm0001677;
tt8924990;nm0000355;
tt8924990;nm0000402;
tt8924990;nm0000148;
tt0116230;nm0513520;
tt0116230;nm0743335;
tt0116230;nm0761907;
tt0110604;nm0958461;
tt0110604;nm0728004;
tt0110604;nm0724084;
tt0297625;nm1023764;
tt0297625;nm0910278;
tt0298685;nm0000453;
tt0298685;nm0681975;
tt0102181;nm0000460;
tt0102181;nm0000622;
tt0102181;nm0001297;
tt0095274;nm0928134;
tt0095274;nm0063671;
tt0095530;nm0000027;
tt0095530;nm0339343;
tt0087192;nm0038914;
tt0087192;nm0737121;
tt0087892;nm0001114;
tt0087892;nm0051856;
tt0087892;nm0001919;
tt0086190;nm0000434;
tt0085873;nm0001545;
tt0083480;nm0040586;
tt0083480;nm0665473;
tt0081062;nm0005401;
tt0081062;nm0692110;
tt0069515;nm0001449;
tt0062601;nm0746387;
tt0062601;nm0552189;
tt0062601;nm0654365;
tt0067681;nm0002069;
tt0067681;nm0907480;
tt0067681;nm0003225;
tt0067476;nm0647005;
tt0067476;nm0134078;
tt0062712;nm0001428;
tt0061377;nm0771268;
tt0060848;nm0000919;
tt0060848;nm0000989;
tt0059460;nm0001229;
tt0059460;nm0813961;
tt0057952;nm0000078;
tt0056057;nm0936476;
tt0053308;nm0290047;
tt0116929;nm0000680;
tt0116929;nm0660816;
tt0116929;nm0000029;
tt0116017;nm0006431;
tt0116017;nm0067684;
tt0421542;nm1698625;
tt0421542;nm0080936;
tt0421542;nm0201151;
tt0183973;nm0271748;
tt0183973;nm0661293;
tt0110138;nm0636694;
tt0110138;nm0842884;
tt0110138;nm0000922;
tt0104069;nm0002989;
tt0104069;nm0005331;
tt0104069;nm0004767;
tt0109656;nm0001881;
tt0109656;nm0002078;
tt0104766;nm0317293;
tt0104766;nm0001744;
tt0104766;nm0002057;
tt0106954;nm0369513;
tt0106954;nm0369567;
tt0101759;nm0002743;
tt0101759;nm0467664;
tt0102122;nm0000617;
tt0102122;nm0098733;
tt0100141;nm0153652;
tt0100141;nm0025343;
tt5348618;nm7857127;
tt5348618;nm0233609;
tt5348618;nm4868327;
tt0181770;nm0825952;
tt0181770;nm0501069;
tt0087350;nm0001812;
tt0087350;nm0729473;
tt0096794;nm0000377;
tt0096794;nm0000456;
tt0096794;nm0424635;
tt0093440;nm0000872;
tt0083189;nm0361039;
tt0075147;nm0001727;
tt0062467;nm0000273;
tt0062407;nm0111376;
tt0060522;nm0000564;
tt0060522;nm0908919;
tt0058385;nm0391361;
tt0054698;nm0000577;
tt0054698;nm0623658;
tt0054428;nm0001559;
tt0053131;nm0002075;
tt0053131;nm0262725;
tt0110732;nm0001857;
tt0110732;nm0001436;
tt0110391;nm0000886;
tt0110391;nm0000906;
tt0111415;nm0000867;
tt0467484;nm2737793;
tt0467484;nm0000271;
tt0467484;nm0001923;
tt0104805;nm0641939;
tt0104805;nm0065798;
tt0095502;nm0042438;
tt0095502;nm0285301;
tt0091567;nm0332390;
tt0091567;nm0000935;
tt0087354;nm0000560;
tt0087354;nm0494264;
tt0079000;nm0768520;
tt0079000;nm0292077;
tt0078025;nm0571557;
tt0078025;nm0227486;
tt0073636;nm0001875;
tt0073310;nm0000059;
tt0070115;nm0001832;
tt0070115;nm0587151;
tt0069958;nm0006890;
tt0293495;nm0470981;
tt0293495;nm0000719;
tt0363468;nm0292114;
tt0363468;nm0573926;
tt0193364;nm0000241;
tt0193364;nm0590499;
tt0133152;nm0000242;
tt0133152;nm0000619;
tt0239395;nm0000285;
tt0239395;nm0001497;
tt0239395;nm0000156;
tt0141907;nm0000473;
tt0141907;nm0000176;
tt0247134;nm0001836;
tt0247134;nm0682970;
tt0247134;nm0254402;
tt0112111;nm0176723;
tt0112111;nm0224477;
tt0112111;nm0773796;
tt0146838;nm0000199;
tt0146838;nm0000139;
tt0206617;nm0351133;
tt0907895;nm0002015;
tt0907895;nm0002018;
